"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9701","Deve permitir adicionar 10 produtos iguais ao carrinho","Funcionalidade carrinho","Thu Oct 09 15:42:53 AMT 2025","passed","Thu Oct 09 15:43:03 AMT 2025","","","",""
"","7843","Deve exibir mensagem de erro ao inserir 11 produtos iguais ao carrinho","Funcionalidade carrinho","Thu Oct 09 15:43:03 AMT 2025","failed","Thu Oct 09 15:43:11 AMT 2025","","","",""
"","7027","Deve exibir mensagem de erro ao tentar atualizar senha sem fornecer a senha atual","Funcionalidade Detalhes da conta","Thu Oct 09 15:43:42 AMT 2025","passed","Thu Oct 09 15:43:50 AMT 2025","","","",""
"","3432","Não permitir acessar o painel Minha Conta sem logar","Funcionalidade Minha Conta","Thu Oct 09 15:45:00 AMT 2025","passed","Thu Oct 09 15:45:04 AMT 2025","","","",""
"","11163","Deve buscar produto por nome","Funcionalidade catálogo de produtos","Thu Oct 09 15:43:13 AMT 2025","passed","Thu Oct 09 15:43:24 AMT 2025","","","",""
"","11081","Deve acessar painel Minha Conta com sucesso ao logar na plataforma","Funcionalidade Minha Conta","Thu Oct 09 15:44:49 AMT 2025","passed","Thu Oct 09 15:45:00 AMT 2025","","","",""
"","6899","Deve exibir detalhes do pedido ao clicar em Visualizar","Funcionalidade Meus pedidos","Thu Oct 09 15:44:40 AMT 2025","passed","Thu Oct 09 15:44:47 AMT 2025","","","",""
"","3260","Deve filtrar produtos por categoria","Funcionalidade catálogo de produtos","Thu Oct 09 15:43:25 AMT 2025","passed","Thu Oct 09 15:43:28 AMT 2025","","","",""
"","8789","Deve buscar produto por nome","Funcionalidade catálogo de produtos","Thu Oct 09 16:14:54 AMT 2025","passed","Thu Oct 09 16:15:03 AMT 2025","","","",""
"","8440","Deve exibir página com meus pedidos","Funcionalidade Meus pedidos","Thu Oct 09 15:44:32 AMT 2025","passed","Thu Oct 09 15:44:40 AMT 2025","","","",""
"","6214","Deve fazer login com sucesso","Funcionalidade Login","Thu Oct 09 15:44:21 AMT 2025","passed","Thu Oct 09 15:44:27 AMT 2025","","","",""
"","2519","Deve exibir uma mensagem de erro ao inserir senha incorreta","Funcionalidade Login","Thu Oct 09 15:44:27 AMT 2025","passed","Thu Oct 09 15:44:30 AMT 2025","","","",""
"","12817","Deve exibir mensagem de erro ao cadastrar endereço sem preencher todos os campos obrigatórios","Funcionalidade Minha Conta","Thu Oct 09 15:44:07 AMT 2025","passed","Thu Oct 09 15:44:19 AMT 2025","","","",""
"","11010","Deve exibir detalhes do produto ao clicar","Funcionalidade catálogo de produtos","Thu Oct 09 16:15:03 AMT 2025","passed","Thu Oct 09 16:15:14 AMT 2025","","","",""
"","12759","Deve alterar dados pessoais com sucesso","Funcionalidade Detalhes da conta","Thu Oct 09 15:43:30 AMT 2025","passed","Thu Oct 09 15:43:42 AMT 2025","","","",""
"","15170","Deve cadastrar endereço com sucesso","Funcionalidade Minha Conta","Thu Oct 09 15:43:51 AMT 2025","passed","Thu Oct 09 15:44:07 AMT 2025","","","",""
