"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2810","Deve exibir uma mensagem de erro ao inserir senha incorreta","Funcionalidade Login","Thu Oct 16 21:39:17 UTC 2025","passed","Thu Oct 16 21:39:20 UTC 2025","","","",""
"","8691","Deve buscar produto por nome","Funcionalidade catálogo de produtos","Thu Oct 16 21:38:09 UTC 2025","passed","Thu Oct 16 21:38:18 UTC 2025","","","",""
"","3415","Deve filtrar produtos por categoria","Funcionalidade catálogo de produtos","Thu Oct 16 21:38:18 UTC 2025","passed","Thu Oct 16 21:38:21 UTC 2025","","","",""
"","12078","Deve alterar dados pessoais com sucesso","Funcionalidade Detalhes da conta","Thu Oct 16 21:38:23 UTC 2025","passed","Thu Oct 16 21:38:35 UTC 2025","","","",""
"","8100","Deve exibir mensagem de erro ao inserir 11 produtos iguais ao carrinho","Funcionalidade carrinho","Thu Oct 16 21:38:00 UTC 2025","failed","Thu Oct 16 21:38:08 UTC 2025","","","",""
"","14458","Deve cadastrar endereço com sucesso","Funcionalidade Endereços","Thu Oct 16 21:38:43 UTC 2025","passed","Thu Oct 16 21:38:57 UTC 2025","","","",""
"","9243","Deve permitir adicionar 10 produtos iguais ao carrinho","Funcionalidade carrinho","Thu Oct 16 21:37:50 UTC 2025","passed","Thu Oct 16 21:38:00 UTC 2025","","","",""
"","6998","Deve fazer login com sucesso","Funcionalidade Login","Thu Oct 16 21:39:10 UTC 2025","passed","Thu Oct 16 21:39:17 UTC 2025","","","",""
"","11983","Deve exibir mensagem de erro ao cadastrar endereço sem preencher todos os campos obrigatórios","Funcionalidade Endereços","Thu Oct 16 21:38:57 UTC 2025","passed","Thu Oct 16 21:39:09 UTC 2025","","","",""
"","2094","Não permitir acessar o painel Minha Conta sem logar","Funcionalidade Minha Conta","Thu Oct 16 21:39:48 UTC 2025","passed","Thu Oct 16 21:39:50 UTC 2025","","","",""
"","5864","Deve exibir detalhes do pedido ao clicar em Visualizar","Funcionalidade Meus pedidos","Thu Oct 16 21:39:29 UTC 2025","passed","Thu Oct 16 21:39:35 UTC 2025","","","",""
"","11314","Deve acessar painel Minha Conta com sucesso ao logar na plataforma","Funcionalidade Minha Conta","Thu Oct 16 21:39:37 UTC 2025","passed","Thu Oct 16 21:39:48 UTC 2025","","","",""
"","7886","Deve exibir página com meus pedidos","Funcionalidade Meus pedidos","Thu Oct 16 21:39:22 UTC 2025","passed","Thu Oct 16 21:39:29 UTC 2025","","","",""
"","6391","Deve exibir mensagem de erro ao tentar atualizar senha sem fornecer a senha atual","Funcionalidade Detalhes da conta","Thu Oct 16 21:38:35 UTC 2025","passed","Thu Oct 16 21:38:41 UTC 2025","","","",""
